,Date,Home,Away,Favorite,Spread,Attendance,Capacity
0,10/18/2022,BOS,PHI,BOS,-3.0,19156,19156
1,10/18/2022,GS,LAL,GS,-7.5,18064,18064
2,10/19/2022,DET,ORL,DET,-2.5,20190,20332
3,10/19/2022,IND,WSH,WSH,-1.0,15027,17923
4,10/19/2022,ATL,HOU,ATL,-10.0,17878,16888
5,10/19/2022,BKN,NO,BKN,-2.5,18003,17732
6,10/19/2022,MIA,CHI,MIA,-7.5,19600,19600
7,10/19/2022,TOR,CLE,TOR,-2.5,19800,19800
8,10/19/2022,MEM,NY,MEM,-4.0,18202,18400
9,10/19/2022,MIN,OKC,MIN,-10.5,17136,19356
10,10/19/2022,SA,CHA,EVEN,0,16236,18354
11,10/19/2022,UTAH,DEN,DEN,-7.0,18206,18206
12,10/19/2022,PHX,DAL,PHX,-4.0,17071,17071
13,10/19/2022,SAC,POR,SAC,-3.0,17611,17611
14,10/20/2022,PHI,MIL,PHI,-4.0,20060,21000
15,10/20/2022,LAL,LAC,LAC,-5.0,18997,19068
16,10/21/2022,CHA,NO,NO,-6.5,19287,19077
17,10/21/2022,IND,SA,IND,-1.0,12073,17923
18,10/21/2022,WSH,CHI,WSH,-2.0,20476,20600
19,10/21/2022,ATL,ORL,ATL,-9.0,17822,16888
20,10/21/2022,BKN,TOR,BKN,-2.5,17732,17732
21,10/21/2022,MIA,BOS,BOS,-2.0,19600,19600
22,10/21/2022,NY,DET,NY,-7.0,19812,19763
23,10/21/2022,HOU,MEM,MEM,-7.0,18055,18055
24,10/21/2022,MIN,UTAH,MIN,-8.0,17136,19356
25,10/21/2022,GS,DEN,GS,-5.5,18064,18064
26,10/21/2022,POR,PHX,PHX,-5.0,19393,19441
27,10/22/2022,PHI,SA,PHI,-13.5,19822,21000
28,10/22/2022,IND,DET,DET,-1.5,16056,17923
29,10/22/2022,ORL,BOS,BOS,-8.5,19299,18500
30,10/22/2022,MIA,TOR,MIA,-3.0,19600,19600
31,10/22/2022,CHI,CLE,CLE,-2.0,21089,20917
32,10/22/2022,MIL,HOU,MIL,-13.0,17341,17341
33,10/22/2022,DAL,MEM,DAL,-5.5,20377,19200
34,10/22/2022,DEN,OKC,DEN,-9.0,19983,19520
35,10/22/2022,SAC,LAC,LAC,-2.5,16296,17611
36,10/23/2022,LAL,POR,LAL,-3.5,18997,19068
37,10/23/2022,ATL,CHA,ATL,-10.0,17383,16888
38,10/23/2022,CLE,WSH,CLE,-3.5,19432,19432
39,10/23/2022,NO,UTAH,NO,-9.0,18665,16867
40,10/23/2022,OKC,MIN,MIN,-8.0,15044,18203
41,10/23/2022,GS,SAC,GS,-10.0,18064,18064
42,10/23/2022,LAC,PHX,PHX,-1.0,19068,19068
43,10/24/2022,PHI,IND,PHI,-12.5,19786,21000
44,10/24/2022,MIA,TOR,MIA,-3.5,19600,19600
45,10/24/2022,NY,ORL,NY,-7.5,18800,19763
46,10/24/2022,CHI,BOS,BOS,-6.0,17673,20917
47,10/24/2022,HOU,UTAH,UTAH,-2.0,16260,18055
48,10/24/2022,MEM,BKN,MEM,-1.0,17392,18400
49,10/24/2022,MIN,SA,MIN,-8.5,15347,19356
50,10/24/2022,POR,DEN,DEN,-5.0,18111,19441
51,10/25/2022,WSH,DET,WSH,-5.5,13196,20600
52,10/25/2022,NO,DAL,DAL,-5.0,14020,16867
53,10/25/2022,OKC,LAC,LAC,-5.5,13105,18203
54,10/25/2022,PHX,GS,PHX,-1.5,[],[]
55,10/26/2022,CLE,ORL,CLE,-8.5,[],[]
56,10/26/2022,DET,ATL,ATL,-7.5,17987,20332
57,10/26/2022,NY,CHA,NY,-7.5,19812,19763
58,10/26/2022,TOR,PHI,PHI,-2.0,19800,19800
59,10/26/2022,MIL,BKN,MIL,-3.5,17341,17341
60,10/26/2022,CHI,IND,CHI,-7.0,18306,20917
61,10/26/2022,MIN,SA,MIN,-9.5,16165,19356
62,10/26/2022,UTAH,HOU,UTAH,-8.5,18206,18206
63,10/26/2022,DEN,LAL,DEN,-5.0,19520,19520
64,10/26/2022,POR,MIA,MIA,-3.0,18588,19441
65,10/27/2022,BKN,DAL,DAL,-3.0,18039,17732
66,10/27/2022,OKC,LAC,LAC,-6.5,14510,18203
67,10/27/2022,GS,MIA,GS,-5.5,18064,18064
68,10/27/2022,SAC,MEM,MEM,-3.0,15511,17611
69,10/28/2022,DET,ATL,ATL,-6.5,18923,20332
70,10/28/2022,ORL,CHA,CHA,-1.5,18846,18500
71,10/28/2022,BOS,CLE,BOS,-7.0,19156,19156
72,10/28/2022,TOR,PHI,TOR,-2.5,19800,19800
73,10/28/2022,WSH,IND,WSH,-5.0,13463,20600
74,10/28/2022,MIL,NY,MIL,-6.0,17341,17341
75,10/28/2022,MIN,LAL,MIN,-7.0,17136,19356
76,10/28/2022,SA,CHI,CHI,-4.0,16562,18354
77,10/28/2022,DEN,UTAH,DEN,-7.5,19560,19520
78,10/28/2022,PHX,NO,PHX,-8.0,17071,17071
79,10/28/2022,POR,HOU,POR,-4.0,19082,19441
80,10/29/2022,SAC,MIA,MIA,-4.5,14618,17611
81,10/29/2022,CHA,GS,GS,-10.0,19079,19077
82,10/29/2022,BKN,IND,BKN,-11.0,17732,17732
83,10/29/2022,CHI,PHI,PHI,-3.0,19010,20917
84,10/29/2022,MIL,ATL,MIL,-5.5,17341,17341
85,10/29/2022,DAL,OKC,DAL,-10.5,20307,19200
86,10/29/2022,UTAH,MEM,MEM,-3.0,18206,18206
87,10/30/2022,LAC,NO,LAC,-2.0,18142,19068
88,10/30/2022,BOS,WSH,BOS,-9.0,19156,19156
89,10/30/2022,CLE,NY,CLE,-3.5,19432,19432
90,10/30/2022,DET,GS,GS,-7.0,20190,20332
91,10/30/2022,SA,MIN,MIN,-6.0,15053,18354
92,10/30/2022,DAL,ORL,DAL,-9.0,20042,19200
93,10/30/2022,PHX,HOU,PHX,-12.5,17071,17071
94,10/30/2022,LAL,DEN,DEN,-2.5,18997,19068
95,10/31/2022,CHA,SAC,SAC,-3.0,12020,19077
96,10/31/2022,WSH,PHI,PHI,-4.0,13746,20600
97,10/31/2022,BKN,IND,BKN,-7.5,15770,17732
98,10/31/2022,TOR,ATL,TOR,-3.0,19800,19800
99,10/31/2022,MIL,DET,MIL,-13.0,17341,17341
100,10/31/2022,UTAH,MEM,MEM,-2.5,18206,18206
101,10/31/2022,LAC,HOU,LAC,-8.5,14887,19068
102,11/1/2022,BKN,CHI,BKN,-1.5,17732,17732
103,11/1/2022,MIA,GS,MIA,-1.0,19600,19600
104,11/1/2022,OKC,ORL,OKC,-3.0,13109,18203
105,11/1/2022,PHX,MIN,PHX,-4.0,17071,17071
106,11/2/2022,CLE,BOS,BOS,-1.5,19432,19432
107,11/2/2022,PHI,WSH,PHI,-5.5,19855,21000
108,11/2/2022,MIA,SAC,MIA,-6.5,19600,19600
109,11/2/2022,NY,ATL,NY,-2.5,19812,19763
110,11/2/2022,CHI,CHA,CHI,-4.5,17886,20917
111,11/2/2022,HOU,LAC,LAC,-6.0,15860,18055
112,11/2/2022,MIL,DET,MIL,-11.5,17341,17341
113,11/2/2022,SA,TOR,TOR,-7.5,12155,18354
114,11/2/2022,DAL,UTAH,DAL,-6.5,19877,19200
115,11/2/2022,POR,MEM,MEM,-5.0,19462,19441
116,11/2/2022,LAL,NO,NO,-2.5,18997,19068
117,11/3/2022,ORL,GS,GS,-9.0,18846,18500
118,11/3/2022,OKC,DEN,DEN,-6.5,13791,18203
119,11/4/2022,DET,CLE,CLE,-5.5,18744,20332
120,11/4/2022,IND,MIA,MIA,-3.5,13141,17923
121,11/4/2022,PHI,NY,PHI,-3.5,20679,21000
122,11/4/2022,WSH,BKN,WSH,-3.0,17258,20600
123,11/4/2022,BOS,CHI,BOS,-7.0,19156,19156
124,11/4/2022,MEM,CHA,MEM,-11.0,17187,18400
125,11/4/2022,SA,LAC,LAC,-3.5,12603,18354
126,11/4/2022,DAL,TOR,DAL,-4.0,20177,19200
127,11/4/2022,NO,GS,NO,-10.5,18451,16867
128,11/4/2022,MIN,MIL,MIL,-2.0,17136,19356
129,11/4/2022,PHX,POR,PHX,-12.0,17071,17071
130,11/4/2022,LAL,UTAH,LAL,-3.5,18997,19068
131,11/5/2022,ORL,SAC,SAC,-4.5,18846,18500
132,11/5/2022,CHA,BKN,BKN,-3.5,19398,19077
133,11/5/2022,ATL,NO,ATL,-2.0,17654,16888
134,11/5/2022,NY,BOS,BOS,-4.0,19812,19763
135,11/5/2022,MIL,OKC,MIL,-5.5,17713,17341
136,11/5/2022,MIN,HOU,MIN,-8.0,16412,19356
137,11/5/2022,DEN,SA,DEN,-11.5,19641,19520
138,11/5/2022,PHX,POR,PHX,-12.0,17071,17071
139,11/6/2022,LAL,CLE,CLE,-5.5,18997,19068
140,11/6/2022,TOR,CHI,TOR,-4.0,19800,19800
141,11/6/2022,MEM,WSH,MEM,-9.5,16877,18400
142,11/6/2022,LAC,UTAH,LAC,-4.0,16111,19068
143,11/7/2022,CHA,WSH,CHA,-2.0,13712,19077
144,11/7/2022,ORL,HOU,ORL,-5.0,15441,18500
145,11/7/2022,DET,OKC,OKC,-1.5,16223,20332
146,11/7/2022,IND,NO,NO,-5.0,14052,17923
147,11/7/2022,PHI,PHX,PHX,-1.0,20347,21000
148,11/7/2022,ATL,MIL,MIL,-5.5,17494,16888
149,11/7/2022,MIA,POR,MIA,-5.0,19600,19600
150,11/7/2022,CHI,TOR,CHI,-2.0,21142,20917
151,11/7/2022,MEM,BOS,BOS,-3.5,17371,18400
152,11/7/2022,MIN,NY,MIN,-2.5,14524,19356
153,11/7/2022,SA,DEN,DEN,-8.0,11574,18354
154,11/7/2022,DAL,BKN,DAL,-6.0,20011,19200
155,11/7/2022,GS,SAC,GS,-8.0,18064,18064
156,11/7/2022,UTAH,LAL,UTAH,-7.0,18206,18206
157,11/7/2022,LAC,CLE,CLE,-4.0,16516,19068
158,11/9/2022,CHA,POR,POR,-2.0,14774,19077
159,11/9/2022,IND,DEN,DEN,-5.0,14069,17923
160,11/9/2022,ORL,DAL,DAL,-8.0,18165,18500
161,11/9/2022,ATL,UTAH,ATL,-4.5,15845,16888
162,11/9/2022,BOS,DET,BOS,-13.5,19156,19156
163,11/9/2022,BKN,NY,BKN,-3.0,18156,17732
164,11/9/2022,TOR,HOU,TOR,-10.0,19800,19800
165,11/9/2022,CHI,NO,NO,-2.0,19621,20917
166,11/9/2022,MIN,PHX,MIN,-2.0,16062,19356
167,11/9/2022,OKC,MIL,MIL,-1.0,15180,18203
168,11/9/2022,SA,MEM,MEM,-5.0,13507,18354
169,11/9/2022,LAC,LAL,LAC,-3.0,19068,19068
170,11/9/2022,SAC,CLE,CLE,-4.5,13816,17611
171,11/10/2022,WSH,DAL,DAL,-6.0,18320,20600
172,11/10/2022,ATL,PHI,ATL,-1.0,16066,16888
173,11/10/2022,MIA,CHA,MIA,-11.0,19600,19600
174,11/10/2022,NO,POR,NO,-9.5,14289,16867
175,11/11/2022,BOS,DEN,BOS,-4.0,19156,19156
176,11/11/2022,ORL,PHX,PHX,-7.5,15879,18500
177,11/11/2022,NY,DET,NY,-9.0,19812,19763
178,11/11/2022,OKC,TOR,TOR,-5.5,16104,18203
179,11/11/2022,SA,MIL,SA,-1.5,15642,18354
180,11/11/2022,MEM,MIN,MEM,-4.0,16939,18400
181,11/11/2022,GS,CLE,GS,-3.0,18064,18064
182,11/11/2022,LAL,SAC,SAC,-4.0,17849,19068
183,11/12/2022,LAC,BKN,LAC,-1.5,17777,19068
184,11/12/2022,WSH,UTAH,UTAH,-4.5,13673,20600
185,11/12/2022,DET,BOS,BOS,-9.0,20190,20332
186,11/12/2022,IND,TOR,IND,-3.0,13089,17923
187,11/12/2022,PHI,ATL,PHI,-3.0,20245,21000
188,11/12/2022,MIA,CHA,MIA,-8.0,19600,19600
189,11/12/2022,DAL,POR,DAL,-6.5,20277,19200
190,11/12/2022,NO,HOU,NO,-11.0,15367,16867
191,11/13/2022,NY,OKC,NY,-5.5,18325,19763
192,11/13/2022,CLE,MIN,CLE,-1.0,19432,19432
193,11/13/2022,WSH,MEM,WSH,-1.5,17667,20600
194,11/13/2022,PHI,UTAH,PHI,-3.5,19761,21000
195,11/13/2022,CHI,DEN,DEN,-1.5,21602,20917
196,11/13/2022,SAC,GS,GS,-4.5,16410,17611
197,11/13/2022,LAL,BKN,BKN,-5.0,18040,19068
198,11/14/2022,DET,TOR,TOR,-4.0,16988,20332
199,11/14/2022,ORL,CHA,CHA,-2.0,15018,18500
200,11/14/2022,BOS,OKC,BOS,-12.0,[],[]
201,11/14/2022,MIA,PHX,MIA,-2.5,19600,19600
202,11/14/2022,HOU,LAC,LAC,-5.0,16098,18055
203,11/14/2022,MIL,ATL,MIL,-4.0,17341,17341
204,11/14/2022,GS,SA,GS,-8.5,18064,18064
205,11/15/2022,NO,MEM,NO,-2.0,14032,16867
206,11/15/2022,DAL,LAC,DAL,-6.5,19810,19200
207,11/15/2022,UTAH,NY,UTAH,-4.0,18206,18206
208,11/15/2022,POR,SA,POR,-8.0,19012,19441
209,11/15/2022,SAC,BKN,SAC,-2.0,17611,17611
210,11/16/2022,CHA,IND,IND,-1.0,14756,19077
211,11/16/2022,ORL,MIN,MIN,-8.0,16527,18500
212,11/16/2022,WSH,OKC,WSH,-5.0,12630,20600
213,11/16/2022,ATL,BOS,EVEN,0,18165,16888
214,11/16/2022,TOR,MIA,TOR,-3.0,19800,19800
215,11/16/2022,MIL,CLE,MIL,-2.0,17341,17341
216,11/16/2022,NO,CHI,NO,-1.5,14658,16867
217,11/16/2022,DAL,HOU,DAL,-6.5,19602,19200
218,11/16/2022,DEN,NY,DEN,-2.5,18210,19520
219,11/16/2022,PHX,GS,GS,-2.5,17071,17071
220,11/17/2022,POR,BKN,POR,-3.0,19393,19441
221,11/17/2022,SAC,SA,SAC,-7.0,16522,17611
222,11/17/2022,LAC,DET,LAC,-11.0,17822,19068
223,11/18/2022,WSH,MIA,WSH,-7.5,18772,20600
224,11/18/2022,CLE,CHA,CLE,-9.5,19432,19432
225,11/18/2022,PHI,MIL,MIL,-1.5,19769,21000
226,11/18/2022,CHI,ORL,CHI,-8.5,21031,20917
227,11/18/2022,HOU,IND,IND,-5.5,15882,18055
228,11/18/2022,MEM,OKC,MEM,-6.5,17324,18400
229,11/18/2022,DAL,DEN,DAL,-10.0,20135,19200
230,11/18/2022,NO,BOS,BOS,-3.0,17828,16867
231,11/18/2022,UTAH,PHX,PHX,-1.0,18206,18206
232,11/18/2022,GS,NY,GS,-7.5,18064,18064
233,11/18/2022,LAL,DET,LAL,-6.5,18095,19068
234,11/19/2022,ATL,TOR,ATL,-5.5,18051,16888
235,11/19/2022,IND,ORL,IND,-7.5,14478,17923
236,11/19/2022,PHI,MIN,MIN,-3.5,20515,21000
237,11/19/2022,POR,UTAH,POR,-4.0,19595,19441
238,11/19/2022,LAC,SA,LAC,-9.0,18581,19068
239,11/20/2022,PHX,NY,PHX,-6.0,17071,17071
240,11/20/2022,WSH,CHA,WSH,-4.5,14289,20600
241,11/20/2022,SAC,DET,SAC,-10.5,17866,17611
242,11/20/2022,BKN,MEM,BKN,-7.5,18241,17732
243,11/20/2022,CLE,MIA,CLE,-7.0,19432,19432
244,11/20/2022,HOU,GS,GS,-10.5,18055,18055
245,11/20/2022,DAL,DEN,DAL,-10.5,20244,19200
246,11/20/2022,LAL,SA,LAL,-6.0,18211,19068
247,11/21/2022,CLE,ATL,CLE,-3.5,19432,19432
248,11/21/2022,IND,ORL,IND,-7.0,14029,17923
249,11/21/2022,CHI,BOS,BOS,-5.5,20786,20917
250,11/21/2022,MIL,POR,MIL,-9.5,17341,17341
251,11/21/2022,MIN,MIA,MIN,-8.5,16583,19356
252,11/21/2022,NO,GS,NO,-11.0,18589,16867
253,11/21/2022,OKC,NY,OKC,-1.5,15079,18203
254,11/21/2022,LAC,UTAH,LAC,-2.5,19068,19068
255,11/22/2022,PHI,BKN,BKN,-7.5,20184,21000
256,11/22/2022,MEM,SAC,MEM,-3.0,16826,18400
257,11/22/2022,DEN,DET,DEN,-12.0,19635,19520
258,11/22/2022,PHX,LAL,PHX,-9.5,17071,17071
259,11/23/2022,CHA,PHI,CHA,-4.0,16910,19077
260,11/23/2022,CLE,POR,CLE,-7.5,19432,19432
261,11/23/2022,IND,MIN,MIN,-2.0,15751,17923
262,11/23/2022,ATL,SAC,ATL,-4.5,18173,16888
263,11/23/2022,BOS,DAL,BOS,-6.0,19156,19156
264,11/23/2022,MIA,WSH,MIA,-5.0,19600,19600
265,11/23/2022,TOR,BKN,BKN,-2.5,19800,19800
266,11/23/2022,MIL,CHI,MIL,-7.0,17341,17341
267,11/23/2022,OKC,DEN,OKC,-1.0,13656,18203
268,11/23/2022,SA,NO,NO,-5.5,14947,18354
269,11/23/2022,UTAH,DET,UTAH,-12.0,18206,18206
270,11/23/2022,GS,LAC,GS,-10.5,18064,18064
271,11/25/2022,CHA,MIN,MIN,-7.0,17924,19077
272,11/25/2022,ORL,PHI,ORL,-1.5,15384,18500
273,11/25/2022,NY,POR,NY,-4.0,19812,19763
274,11/25/2022,BOS,SAC,BOS,-7.0,19156,19156
275,11/25/2022,IND,BKN,BKN,-3.5,15404,17923
276,11/25/2022,MIA,WSH,MIA,-3.0,19600,19600
277,11/25/2022,HOU,ATL,ATL,-7.0,16669,18055
278,11/25/2022,MEM,NO,MEM,-2.5,17794,18400
279,11/25/2022,MIL,CLE,MIL,-4.0,17447,17341
280,11/25/2022,OKC,CHI,CHI,-3.0,16082,18203
281,11/25/2022,SA,LAL,LAL,-4.0,18354,18354
282,11/25/2022,PHX,DET,PHX,-12.0,17071,17071
283,11/25/2022,GS,UTAH,GS,-8.0,18064,18064
284,11/25/2022,LAC,DEN,DEN,-4.0,16559,19068
285,11/26/2022,TOR,DAL,DAL,-2.5,19800,19800
286,11/26/2022,HOU,OKC,OKC,-2.0,15151,18055
287,11/26/2022,SA,LAL,EVEN,0,18354,18354
288,11/26/2022,PHX,UTAH,PHX,-6.5,17071,17071
289,11/27/2022,BKN,POR,BKN,-8.0,17732,17732
290,11/27/2022,MIN,GS,EVEN,0,17136,19356
291,11/27/2022,LAC,IND,IND,-2.0,16805,19068
292,11/27/2022,ATL,MIA,ATL,-4.0,17268,16888
293,11/27/2022,BOS,WSH,BOS,-8.0,19156,19156
294,11/27/2022,DET,CLE,CLE,-7.5,18240,20332
295,11/27/2022,NY,MEM,MEM,-1.5,19524,19763
296,11/27/2022,ORL,PHI,EVEN,0,16218,18500
297,11/27/2022,MIL,DAL,MIL,-5.5,17341,17341
298,11/28/2022,PHI,ATL,PHI,-2.5,19778,21000
299,11/28/2022,WSH,MIN,WSH,-1.0,13515,20600
300,11/28/2022,BOS,CHA,BOS,-11.0,19156,19156
301,11/28/2022,BKN,ORL,BKN,-12.0,15704,17732
302,11/28/2022,TOR,CLE,TOR,-5.0,19800,19800
303,11/28/2022,NO,OKC,NO,-5.5,13109,16867
304,11/28/2022,DEN,HOU,DEN,-11.0,16027,19520
305,11/28/2022,UTAH,CHI,UTAH,-2.0,18206,18206
306,11/28/2022,SAC,PHX,SAC,-1.0,16407,17611
307,11/28/2022,LAL,IND,LAL,-3.5,16034,19068
308,11/29/2022,DET,NY,NY,-4.0,14864,20332
309,11/29/2022,DAL,GS,DAL,-1.0,20277,19200
310,11/29/2022,POR,LAC,POR,-4.0,17251,19441
311,11/30/2022,CLE,PHI,CLE,-4.0,19432,19432
312,11/30/2022,ORL,ATL,ATL,-7.0,15344,18500
313,11/30/2022,BOS,MIA,BOS,-9.5,19156,19156
314,11/30/2022,BKN,WSH,BKN,-5.5,15963,17732
315,11/30/2022,NY,MIL,MIL,-6.0,17277,19763
316,11/30/2022,MIN,MEM,MEM,-2.5,15980,19356
317,11/30/2022,NO,TOR,TOR,-2.5,14845,16867
318,11/30/2022,OKC,SA,OKC,-3.0,15605,18203
319,11/30/2022,DEN,HOU,DEN,-11.5,16286,19520
320,11/30/2022,PHX,CHI,PHX,-5.5,17071,17071
321,11/30/2022,UTAH,LAC,UTAH,-8.0,18206,18206
322,11/30/2022,SAC,IND,SAC,-4.5,17611,17611
323,11/30/2022,LAL,POR,LAL,-6.0,18560,19068
324,12/1/2022,DET,DAL,DAL,-8.0,18106,20332
325,12/2/2022,CHA,WSH,WSH,-4.5,15231,19077
326,12/2/2022,ATL,DEN,DEN,-4.5,16974,16888
327,12/2/2022,BOS,MIA,BOS,-7.0,19156,19156
328,12/2/2022,BKN,TOR,BKN,-1.5,17732,17732
329,12/2/2022,CLE,ORL,CLE,-11.0,19432,19432
330,12/2/2022,MIL,LAL,MIL,-8.0,17938,17341
331,12/2/2022,MEM,PHI,MEM,-4.5,17022,18400
332,12/2/2022,SA,NO,NO,-7.5,17202,18354
333,12/2/2022,PHX,HOU,PHX,-12.0,17071,17071
334,12/2/2022,UTAH,IND,UTAH,-4.0,18206,18206
335,12/2/2022,GS,CHI,GS,-7.0,18064,18064
336,12/3/2022,NY,DAL,DAL,-1.0,18319,19763
337,12/3/2022,LAC,SAC,SAC,-3.5,16587,19068
338,12/3/2022,CHA,MIL,MIL,-2.0,18128,19077
339,12/3/2022,TOR,ORL,TOR,-11.5,19800,19800
340,12/3/2022,MIN,OKC,MIN,-5.5,17136,19356
341,12/3/2022,GS,HOU,GS,-11.5,18064,18064
342,12/3/2022,UTAH,POR,UTAH,-5.0,18206,18206
343,12/4/2022,NO,DEN,NO,-2.0,15658,16867
344,12/4/2022,SA,PHX,PHX,-10.0,16409,18354
345,12/4/2022,BKN,BOS,BOS,-2.5,18043,17732
346,12/4/2022,DET,MEM,MEM,-6.5,20088,20332
347,12/4/2022,NY,CLE,CLE,-2.5,19007,19763
348,12/4/2022,WSH,LAL,WSH,-1.5,19647,20600
349,12/4/2022,SAC,CHI,SAC,-3.5,17611,17611
350,12/4/2022,POR,IND,POR,-5.0,17479,19441
351,12/5/2022,CHA,LAC,LAC,-6.0,13945,19077
352,12/5/2022,ORL,MIL,MIL,-10.5,16174,18500
353,12/5/2022,ATL,OKC,ATL,-6.5,16301,16888
354,12/5/2022,TOR,BOS,TOR,-2.0,19800,19800
355,12/5/2022,HOU,PHI,PHI,-8.0,15331,18055
356,12/5/2022,MEM,MIA,MIA,-5.0,16122,18400
357,12/5/2022,DAL,PHX,DAL,-3.0,20227,19200
358,12/5/2022,GS,IND,GS,-12.0,18064,18064
359,12/6/2022,CLE,LAL,CLE,-6.0,19432,19432
360,12/6/2022,MIA,DET,MIA,-7.5,19600,19600
361,12/6/2022,DEN,DAL,DEN,-4.0,19520,19520
362,12/7/2022,ORL,LAC,LAC,-6.5,14429,18500
363,12/7/2022,BKN,CHA,BKN,-10.0,16903,17732
364,12/7/2022,NY,ATL,NY,-2.5,18091,19763
365,12/7/2022,TOR,LAL,TOR,-12.5,19800,19800
366,12/7/2022,CHI,WSH,CHI,-5.0,19265,20917
367,12/7/2022,MEM,OKC,MEM,-8.5,15942,18400
368,12/7/2022,MIL,SAC,MIL,-6.5,17341,17341
369,12/7/2022,MIN,IND,MIN,-4.0,15472,19356
370,12/7/2022,NO,DET,NO,-11.0,14073,16867
371,12/7/2022,UTAH,GS,UTAH,-5.5,18206,18206
372,12/7/2022,PHX,BOS,PHX,-2.0,17071,17071
373,12/8/2022,MIA,LAC,MIA,-6.5,19600,19600
374,12/8/2022,SA,HOU,HOU,-2.0,13140,18354
375,12/8/2022,POR,DEN,DEN,-2.0,18189,19441
376,12/9/2022,CHA,NY,NY,-4.0,17696,19077
377,12/9/2022,IND,WSH,IND,-4.0,15039,17923
378,12/9/2022,ORL,TOR,TOR,-9.0,17008,18500
379,12/9/2022,BKN,ATL,BKN,-7.5,18072,17732
380,12/9/2022,CLE,SAC,CLE,-3.5,19432,19432
381,12/9/2022,PHI,LAL,PHI,-5.0,20852,21000
382,12/9/2022,MEM,DET,MEM,-11.0,17103,18400
383,12/9/2022,NO,PHX,PHX,-1.5,16381,16867
384,12/9/2022,UTAH,MIN,EVEN,0,18206,18206
385,12/9/2022,DAL,MIL,MIL,-1.0,20277,19200
386,12/10/2022,MIA,SA,MIA,-12.0,19600,19600
387,12/10/2022,IND,BKN,IND,-8.5,14280,17923
388,12/10/2022,WSH,LAC,LAC,-5.0,18404,20600
389,12/10/2022,CLE,OKC,CLE,-4.5,19432,19432
390,12/10/2022,CHI,DAL,CHI,-5.5,19528,20917
391,12/10/2022,GS,BOS,BOS,-2.5,18064,18064
392,12/10/2022,DEN,UTAH,DEN,-11.5,19636,19520
393,12/10/2022,POR,MIN,POR,-5.5,18324,19441
394,12/11/2022,NO,PHX,NO,-3.5,18681,16867
395,12/11/2022,DET,LAL,LAL,-5.0,20190,20332
396,12/11/2022,NY,SAC,NY,-2.5,19812,19763
397,12/11/2022,ORL,TOR,TOR,-6.5,16891,18500
398,12/11/2022,PHI,CHA,PHI,-10.5,19765,21000
399,12/11/2022,ATL,CHI,ATL,-3.5,17227,16888
400,12/11/2022,HOU,MIL,MIL,-10.0,16268,18055
401,12/12/2022,IND,MIA,MIA,-3.5,15309,17923
402,12/12/2022,WSH,BKN,BKN,-5.5,16090,20600
403,12/12/2022,MEM,ATL,MEM,-9.5,16544,18400
404,12/12/2022,DAL,OKC,DAL,-8.5,19877,19200
405,12/12/2022,SA,CLE,CLE,-9.5,13434,18354
406,12/12/2022,POR,MIN,POR,-3.5,18021,19441
407,12/12/2022,LAC,BOS,BOS,-4.0,19068,19068
408,12/13/2022,PHI,SAC,PHI,-4.0,19768,21000
409,12/13/2022,MIL,GS,MIL,-2.5,17628,17341
410,12/13/2022,HOU,PHX,PHX,-6.5,15128,18055
411,12/13/2022,UTAH,NO,NO,-2.0,18206,18206
412,12/13/2022,LAL,BOS,BOS,-4.0,18661,19068
