,Date,Home,Away,Favorite,Spread,O/U,Attendance,Capacity,Game ID
0,2023-10-24,LAL,DEN,DEN,-4.5,228.5,19842,[],401584689
1,2023-10-24,PHX,GSW,GSW,-3.5,235.5,18064,[],401584690
2,2023-10-25,ATL,CHA,ATL,-4.5,235.5,16129,[],401584691
3,2023-10-25,WAS,IND,IND,-4.5,235.5,16004,[],401584692
4,2023-10-25,BOS,NYK,BOS,-4.5,223.5,19812,[],401584693
5,2023-10-25,HOU,ORL,ORL,-4.5,219.5,18846,[],401584694
6,2023-10-25,CLE,BKN,CLE,-1.5,218.5,17931,[],401584695
7,2023-10-25,DET,MIA,MIA,-9.5,218.5,19695,[],401584696
8,2023-10-25,MIN,TOR,TOR,-0.5,220.5,19800,[],401584697
9,2023-10-25,OKC,CHI,CHI,-2.5,224.5,21369,[],401584698
10,2023-10-25,NOP,MEM,MEM,-1.5,224.5,17798,[],401584699
11,2023-10-25,SAC,UTA,SAC,-1.5,234.5,18206,[],401584700
12,2023-10-25,DAL,SAS,DAL,-4.5,231.5,18947,[],401584701
13,2023-10-25,POR,LAC,LAC,-10.5,225.5,19370,[],401584702
14,2023-10-26,PHI,MIL,MIL,-5.5,227.5,17783,[],401584703
15,2023-10-26,PHX,LAL,LAL,-6.5,226.5,18997,[],401584704
16,2023-10-27,DET,CHA,CHA,-4.5,226.5,15855,[],401584705
17,2023-10-27,DEN,MEM,DEN,-5.5,221.5,16617,[],401584706
18,2023-10-27,NYK,ATL,ATL,-0.5,229.5,17692,[],401584707
19,2023-10-27,MIA,BOS,BOS,-8.5,220.5,19156,[],401584708
20,2023-10-27,OKC,CLE,CLE,-2.5,226.5,19432,[],401584709
21,2023-10-27,TOR,CHI,CHI,-2.5,216.5,19555,[],401584710
22,2023-10-27,HOU,SAS,SAS,-2.5,224.5,18354,[],401584711
23,2023-10-27,BKN,DAL,DAL,-6.5,231.5,20238,[],401584712
24,2023-10-27,LAC,UTA,LAC,-4.5,227.5,18206,[],401584713
25,2023-10-27,ORL,POR,ORL,-4.5,220.5,19464,[],401584714
26,2023-10-27,GSW,SAC,SAC,-3.5,237.5,18250,[],401584715
27,2023-10-28,CHI,DET,CHI,-2.5,214.5,20062,[],401584716
28,2023-10-28,MEM,WAS,WAS,-0.5,228.5,16191,[],401584717
29,2023-10-28,NYK,NOP,NOP,-3.5,223.5,16331,[],401584718
30,2023-10-28,IND,CLE,IND,-3.5,221.5,19432,[],401584719
31,2023-10-28,PHI,TOR,PHI,-4.5,214.5,19800,[],401584720
32,2023-10-28,MIA,MIN,MIN,-8.5,215.5,18024,[],401584721
33,2023-10-28,UTA,PHX,PHX,-5.5,222.5,17071,[],401584722
34,2023-10-29,DEN,OKC,DEN,-3.5,230.5,18203,[],401584723
35,2023-10-29,GSW,HOU,GSW,-7.5,223.5,18055,[],401584724
36,2023-10-29,ATL,MIL,MIL,-6.5,238.5,17341,[],401584725
37,2023-10-29,POR,PHI,PHI,-9.5,216.5,19768,[],401584726
38,2023-10-29,SAS,LAC,LAC,-9.5,229.5,19370,[],401584727
39,2023-10-29,LAL,SAC,SAC,-2.5,235.5,18198,[],401584728
40,2023-10-30,BKN,CHA,BKN,-1.5,227.5,14491,[],401584729
41,2023-10-30,CHI,IND,IND,-3.5,229.5,15021,[],401584730
42,2023-10-30,BOS,WAS,BOS,-10.5,231.5,17898,[],401584731
43,2023-10-30,MIN,ATL,MIN,-2.5,229.5,15504,[],401584732
44,2023-10-30,POR,TOR,TOR,-9.5,216.5,19266,[],401584733
45,2023-10-30,DAL,MEM,MEM,-1.5,222.5,15031,[],401584734
46,2023-10-30,MIA,MIL,MIL,-7.5,225.5,17341,[],401584735
47,2023-10-30,GSW,NOP,NOP,-2.5,220.5,17286,[],401584736
48,2023-10-30,DET,OKC,OKC,-6.5,225.5,16127,[],401584737
49,2023-10-30,UTA,DEN,DEN,-9.5,226.5,19671,[],401584738
50,2023-10-30,ORL,LAL,LAL,-3.5,220.5,18997,[],401584739
51,2023-10-31,NYK,CLE,NYK,-1.5,213.5,19432,[],401584740
52,2023-10-31,SAS,PHX,PHX,-7.5,225.5,17071,[],401584741
53,2023-10-31,ORL,LAC,LAC,-6.5,220.5,14014,[],401584742
54,2023-11-1,POR,DET,DET,-3.5,216.5,16912,[],401584743
55,2023-11-1,MIL,TOR,MIL,-4.5,223.5,19800,[],401584744
56,2023-11-1,WAS,ATL,ATL,-10.5,240.5,15925,[],401584745
57,2023-11-1,IND,BOS,BOS,-12.5,233.5,19156,[],401584746
58,2023-11-1,BKN,MIA,MIA,-6.5,223.5,19600,[],401584747
59,2023-11-1,CLE,NYK,NYK,-5.5,210.5,19812,[],401584748
60,2023-11-1,NOP,OKC,OKC,-3.5,228.5,15764,[],401584749
61,2023-11-1,CHA,HOU,HOU,-3.5,222.5,16263,[],401584750
62,2023-11-1,DEN,MIN,DEN,-2.5,220.5,18024,[],401584751
63,2023-11-1,CHI,DAL,DAL,-2.5,219.5,20103,[],401584752
64,2023-11-1,MEM,UTA,UTA,-2.5,225.5,18206,[],401584753
65,2023-11-1,SAC,GSW,GSW,-7.5,227.5,18064,[],401584754
66,2023-11-1,LAC,LAL,LAL,-3.5,227.5,18997,[],401584755
67,2023-11-2,TOR,PHI,PHI,-7.5,214.5,19773,[],401584756
68,2023-11-2,DET,NOP,NOP,-4.5,215.5,15884,[],401584757
69,2023-11-2,ORL,UTA,ORL,-1.5,223.5,18206,[],401584758
70,2023-11-2,SAS,PHX,PHX,-10.5,229.5,17071,[],401584759
71,2023-11-4,PHX,PHI,PHI,-5.5,220.5,19796,[],401584760
72,2023-11-4,CHA,IND,IND,-5.5,241.5,15945,[],401584761
73,2023-11-4,LAL,ORL,LAL,-3.5,222.5,18846,[],401584762
74,2023-11-4,ATL,NOP,NOP,-1.5,237.5,17237,[],401584763
75,2023-11-4,BOS,BKN,BOS,-9.5,226.5,17983,[],401584764
76,2023-11-4,SAC,HOU,SAC,-2.5,221.5,18055,[],401584765
77,2023-11-4,UTA,MIN,MIN,-7.5,224.5,18024,[],401584766
78,2023-11-4,CHI,DEN,DEN,-9.5,217.5,19610,[],401584767
79,2023-11-5,PHX,DET,PHX,-3.5,219.5,20062,[],401584768
80,2023-11-5,TOR,SAS,TOR,-4.5,222.5,18354,[],401584769
81,2023-11-5,GSW,CLE,CLE,-0.5,222.5,19432,[],401584770
82,2023-11-5,CHA,DAL,DAL,-11.5,234.5,20052,[],401584771
83,2023-11-5,MEM,POR,MEM,-3.5,219.5,18187,[],401584772
84,2023-11-6,GSW,DET,GSW,-8.5,224.5,20062,[],401584773
85,2023-11-6,SAS,IND,IND,-8.5,238.5,15129,[],401584774
86,2023-11-6,DAL,ORL,ORL,-1.5,229.5,19409,[],401584775
87,2023-11-6,WAS,PHI,PHI,-11.5,229.5,19765,[],401584776
88,2023-11-6,MIL,BKN,MIL,-4.5,232.5,17935,[],401584777
89,2023-11-6,LAL,MIA,MIA,-1.5,222.5,19725,[],401584778
90,2023-11-6,LAC,NYK,NYK,-1.5,223.5,19812,[],401584779
91,2023-11-6,UTA,CHI,CHI,-3.5,223.5,18031,[],401584780
92,2023-11-6,SAC,HOU,SAC,-2.5,218.5,15130,[],401584781
93,2023-11-6,BOS,MIN,BOS,-3.5,221.5,18024,[],401584782
94,2023-11-6,ATL,OKC,OKC,-0.5,242.5,16486,[],401584783
95,2023-11-6,NOP,DEN,DEN,-5.5,222.5,19544,[],401584784
96,2023-11-8,WAS,CHA,CHA,-2.5,239.5,14267,[],401584785
97,2023-11-8,UTA,IND,IND,-5.5,242.5,14509,[],401584786
98,2023-11-8,BOS,PHI,BOS,-2.5,229.5,19953,[],401584787
99,2023-11-8,LAC,BKN,LAC,-5.5,231.5,17933,[],401584788
100,2023-11-8,SAS,NYK,NYK,-9.5,223.5,19812,[],401584789
101,2023-11-8,PHX,CHI,CHI,-0.5,217.5,18220,[],401584790
102,2023-11-8,LAL,HOU,LAL,-1.5,223.5,18055,[],401584791
103,2023-11-8,MIA,MEM,MIA,-1.5,216.5,16781,[],401584792
104,2023-11-8,DET,MIL,MIL,-12.5,227.5,17341,[],401584793
105,2023-11-8,NOP,MIN,MIN,-9.5,215.5,18024,[],401584794
106,2023-11-8,CLE,OKC,CLE,-2.5,227.5,16314,[],401584795
107,2023-11-8,TOR,DAL,DAL,-4.5,225.5,20063,[],401584796
108,2023-11-8,GSW,DEN,DEN,-4.5,227.5,19737,[],401584797
109,2023-11-8,POR,SAC,SAC,-8.5,221.5,17829,[],401584798
110,2023-11-9,MIL,IND,MIL,-1.5,239.5,14648,[],401584799
111,2023-11-9,ATL,ORL,ATL,-3.5,232.5,19986,[],401584800
112,2023-11-11,MIL,ORL,MIL,-2.5,227.5,19354,[],401584801
113,2023-11-11,TOR,BOS,BOS,-9.5,222.5,19156,[],401584802
114,2023-11-11,MIA,ATL,ATL,-7.5,227.5,17722,[],401584803
115,2023-11-11,CLE,GSW,GSW,-4.5,224.5,18064,[],401584804
116,2023-11-12,CHA,NYK,NYK,-11.5,224.5,19812,[],401584805
117,2023-11-12,WAS,BKN,BKN,-6.5,234.5,17732,[],401584806
118,2023-11-12,MEM,LAC,LAC,-8.5,224.5,17220,[],401584807
119,2023-11-12,IND,PHI,PHI,-7.5,237.5,19758,[],401584808
120,2023-11-12,DET,CHI,CHI,-6.5,221.5,19088,[],401584809
121,2023-11-12,DEN,HOU,DEN,-4.5,215.5,18055,[],401584810
122,2023-11-12,DAL,NOP,DAL,-3.5,237.5,16302,[],401584811
123,2023-11-12,MIA,SAS,MIA,-1.5,222.5,18036,[],401584812
124,2023-11-12,OKC,PHX,PHX,-4.5,231.5,17071,[],401584813
125,2023-11-12,MIN,GSW,GSW,-3.5,222.5,18064,[],401584814
126,2023-11-12,POR,LAL,LAL,-8.5,220.5,18997,[],401584815
127,2023-11-13,NYK,BOS,BOS,-9.5,220.5,19156,[],401584816
128,2023-11-13,WAS,TOR,TOR,-8.5,230.5,19800,[],401584817
129,2023-11-13,CHI,MIL,MIL,-9.5,230.5,17865,[],401584818
130,2023-11-13,CLE,SAC,SAC,-3.5,228.5,17829,[],401584819
131,2023-11-15,DAL,WAS,DAL,-3.5,243.5,16632,[],401584820
132,2023-11-15,NYK,ATL,ATL,-1.5,229.5,17060,[],401584821
133,2023-11-15,BOS,PHI,BOS,-1.5,223.5,19773,[],401584822
134,2023-11-15,MIL,TOR,MIL,-1.5,224.5,19800,[],401584823
135,2023-11-15,ORL,CHI,CHI,-2.5,215.5,19092,[],401584824
136,2023-11-15,MIN,PHX,PHX,-4.5,222.5,17071,[],401584825
137,2023-11-15,SAC,LAL,LAL,-0.5,237.5,18687,[],401584826
138,2023-11-15,CLE,POR,CLE,-10.5,217.5,18137,[],401584827
139,2023-11-16,BKN,MIA,MIA,-3.5,214.5,19866,[],401584828
140,2023-11-16,OKC,GSW,OKC,-3.5,226.5,18064,[],401584829
141,2023-11-18,NYK,CHA,NYK,-6.5,224.5,19171,[],401584830
142,2023-11-18,MIN,NOP,MIN,-7.5,220.5,15536,[],401584831
143,2023-11-18,MIA,CHI,MIA,-1.5,212.5,18063,[],401584832
144,2023-11-18,DAL,MIL,MIL,-1.5,247.5,18128,[],401584833
145,2023-11-18,MEM,SAS,MEM,-3.5,226.5,18354,[],401584834
146,2023-11-18,OKC,GSW,GSW,-1.5,236.5,18064,[],401584835
147,2023-11-19,PHI,BKN,PHI,-3.5,224.5,17934,[],401584836
148,2023-11-19,ORL,IND,IND,-4.5,236.5,17276,[],401584837
149,2023-11-19,DEN,CLE,DEN,-4.5,215.5,19432,[],401584838
150,2023-11-19,DET,TOR,TOR,-9.5,219.5,19182,[],401584839
151,2023-11-19,SAC,DAL,DAL,-1.5,246.5,20211,[],401584840
152,2023-11-19,BOS,MEM,BOS,-12.5,222.5,17798,[],401584841
153,2023-11-19,PHX,UTA,PHX,-5.5,238.5,18206,[],401584842
154,2023-11-19,OKC,POR,OKC,-6.5,223.5,18235,[],401584843
155,2023-11-19,HOU,LAL,LAL,-6.5,221.5,18997,[],401584844
156,2023-11-20,BOS,CHA,BOS,-8.5,234.5,19134,[],401584845
157,2023-11-20,DEN,DET,DEN,-9.5,225.5,19403,[],401584846
158,2023-11-20,MIL,WAS,MIL,-10.5,246.5,17746,[],401584847
159,2023-11-20,MIA,CHI,MIA,-1.5,209.5,19258,[],401584848
160,2023-11-20,NYK,MIN,MIN,-2.5,214.5,18024,[],401584849
161,2023-11-20,SAC,NOP,SAC,-1.5,237.5,16004,[],401584850
162,2023-11-20,LAC,SAS,LAC,-9.5,231.5,18354,[],401584851
163,2023-11-20,HOU,GSW,GSW,-7.5,220.5,18064,[],401584852
164,2023-11-22,WAS,CHA,CHA,-3.5,240.5,16432,[],401584853
165,2023-11-22,DEN,ORL,DEN,-3.5,218.5,18237,[],401584854
166,2023-11-22,BKN,ATL,ATL,-3.5,236.5,17340,[],401584855
167,2023-11-22,MIL,BOS,BOS,-6.5,235.5,19156,[],401584856
168,2023-11-22,MIA,CLE,CLE,-0.5,212.5,19432,[],401584857
169,2023-11-22,TOR,IND,IND,-2.5,241.5,17091,[],401584858
170,2023-11-22,MEM,HOU,HOU,-4.5,213.5,18055,[],401584859
171,2023-11-22,PHI,MIN,MIN,-6.5,220.5,18024,[],401584860
172,2023-11-22,SAC,NOP,SAC,-1.5,234.5,16012,[],401584861
173,2023-11-22,CHI,OKC,OKC,-6.5,223.5,18203,[],401584862
174,2023-11-22,LAC,SAS,LAC,-7.5,230.5,18354,[],401584863
175,2023-11-22,GSW,PHX,PHX,-3.5,233.5,17071,[],401584864
176,2023-11-22,UTA,POR,UTA,-3.5,228.5,17819,[],401584865
177,2023-11-22,DAL,LAL,LAL,-0.5,245.5,18997,[],401584866
178,2023-11-25,PHI,OKC,PHI,-1.5,231.5,17125,[],401584867
179,2023-11-25,MIA,BKN,BKN,-7.5,216.5,17817,[],401584868
180,2023-11-25,ATL,WAS,ATL,-8.5,250.5,16276,[],401584869
181,2023-11-25,LAL,CLE,CLE,-4.5,227.5,19432,[],401584870
182,2023-11-25,NOP,UTA,NOP,-2.5,227.5,18206,[],401584871
183,2023-11-25,DAL,LAC,LAC,-0.5,237.5,19370,[],401584872
184,2023-11-26,POR,MIL,MIL,-12.5,231.5,17602,[],401584873
185,2023-11-26,ATL,BOS,BOS,-7.5,234.5,19156,[],401584874
186,2023-11-26,PHX,NYK,NYK,-6.5,219.5,19812,[],401584875
187,2023-11-26,CHA,ORL,ORL,-6.5,227.5,18846,[],401584876
188,2023-11-26,MIN,MEM,MIN,-6.5,217.5,15764,[],401584877
189,2023-11-26,CHI,BKN,BKN,-2.5,221.5,16687,[],401584878
190,2023-11-26,TOR,CLE,CLE,-3.5,222.5,19432,[],401584879
191,2023-11-26,SAS,DEN,DEN,-10.5,229.5,19665,[],401584880
192,2023-11-27,WAS,DET,DET,-2.5,237.5,14346,[],401584881
193,2023-11-27,POR,IND,IND,-11.5,240.5,14508,[],401584882
194,2023-11-27,LAL,PHI,PHI,-5.5,230.5,19907,[],401584883
195,2023-11-27,NOP,UTA,NOP,-6.5,232.5,18206,[],401584884
196,2023-11-27,DEN,LAC,LAC,-11.5,217.5,17071,[],401584885
197,2023-11-29,LAL,DET,LAL,-8.5,230.5,20062,[],401584886
198,2023-11-29,WAS,ORL,ORL,-10.5,235.5,17109,[],401584887
199,2023-11-29,PHX,TOR,PHX,-2.5,227.5,19800,[],401584888
200,2023-11-29,UTA,MEM,MEM,-3.5,223.5,15327,[],401584889
201,2023-11-29,PHI,NOP,NOP,-2.5,228.5,16009,[],401584890
202,2023-11-29,HOU,DEN,DEN,-10.5,217.5,19590,[],401584891
203,2023-11-29,LAC,SAC,LAC,-1.5,231.5,17829,[],401584892
204,2023-11-30,POR,CLE,CLE,-12.5,220.5,19432,[],401584893
205,2023-11-30,CHA,BKN,BKN,-8.5,224.5,16072,[],401584894
206,2023-11-30,IND,MIA,MIA,-3.5,238.5,19604,[],401584895
207,2023-11-30,DET,NYK,NYK,-14.5,219.5,19812,[],401584896
208,2023-11-30,MIL,CHI,MIL,-10.5,225.5,19838,[],401584897
209,2023-11-30,UTA,MIN,MIN,-11.5,219.5,18024,[],401584898
210,2023-11-30,LAL,OKC,OKC,-4.5,234.5,17401,[],401584899
211,2023-11-30,ATL,SAS,ATL,-6.5,246.5,17646,[],401584900
212,2023-11-30,LAC,GSW,GSW,-2.5,229.5,18064,[],401584901
213,2023-12-1,WAS,ORL,ORL,-10.5,236.5,18846,[],401584902
214,2023-12-1,PHI,BOS,BOS,-11.5,218.5,19156,[],401584903
215,2023-12-1,NYK,TOR,TOR,-1.5,218.5,19800,[],401584904
216,2023-12-1,MEM,DAL,DAL,-5.5,224.5,20150,[],401584905
217,2023-12-1,SAS,NOP,NOP,-12.5,237.5,17028,[],401584906
218,2023-12-1,DEN,PHX,PHX,-0.5,224.5,17071,[],401584907
219,2023-12-2,GSW,LAC,LAC,-4.5,229.5,19370,[],401584908
220,2023-12-2,MIN,CHA,MIN,-5.5,220.5,17731,[],401584909
221,2023-12-2,ORL,BKN,BKN,-2.5,225.5,17966,[],401584910
222,2023-12-2,CLE,DET,CLE,-9.5,225.5,18924,[],401584911
223,2023-12-2,IND,MIA,MIA,-4.5,237.5,19650,[],401584912
224,2023-12-2,NOP,CHI,CHI,-0.5,219.5,20511,[],401584913
225,2023-12-2,ATL,MIL,MIL,-6.5,252.5,17866,[],401584914
226,2023-12-2,OKC,DAL,OKC,-5.5,234.5,20277,[],401584915
227,2023-12-2,MEM,PHX,PHX,-10.5,220.5,17071,[],401584916
228,2023-12-2,POR,UTA,UTA,-1.5,217.5,18206,[],401584917
229,2023-12-2,DEN,SAC,SAC,-3.5,234.5,17829,[],401584918
230,2023-12-2,HOU,LAL,LAL,-4.5,226.5,18997,[],401584919
231,2023-12-11,MIA,CHA,MIA,-4.5,222.5,15543,[],401584920
232,2023-12-11,IND,DET,IND,-7.5,247.5,14988,[],401584921
233,2023-12-11,CLE,ORL,ORL,-2.5,225.5,19032,[],401584922
234,2023-12-11,WAS,PHI,PHI,-13.5,244.5,19762,[],401584923
235,2023-12-11,DEN,ATL,DEN,-2.5,242.5,17531,[],401584924
236,2023-12-11,TOR,NYK,NYK,-4.5,221.5,19812,[],401584925
237,2023-12-11,SAS,HOU,HOU,-8.5,223.5,16481,[],401584926
238,2023-12-11,DAL,MEM,MEM,-1.5,227.5,16379,[],401584927
239,2023-12-11,CHI,MIL,MIL,-11.5,233.5,17440,[],401584928
240,2023-12-11,MIN,NOP,NOP,-4.5,221.5,16487,[],401584929
241,2023-12-11,UTA,OKC,OKC,-12.5,235.5,16631,[],401584930
242,2023-12-11,BKN,SAC,SAC,-4.5,237.5,17794,[],401584931
